Sex,Age,Region,Frequency,TIME_PERIOD,OVALUE
Females,0-4,Australia,Quarterly,2014-Q2,750223
Females,0-4,Australia,Quarterly,2014-Q3,752673
Females,0-4,Australia,Quarterly,2014-Q4,753948
Females,0-4,Australia,Quarterly,2015-Q1,755151
Females,0-4,Australia,Quarterly,2015-Q2,755529
Females,0-4,Australia,Quarterly,2015-Q3,758357
Females,0-4,Australia,Quarterly,2015-Q4,759941
Females,0-4,Australia,Quarterly,2016-Q1,763070
Females,0-4,Australia,Quarterly,2016-Q2,765733
Females,0-4,Australia,Quarterly,2016-Q3,766921
Females,0-4,Australia,Quarterly,2016-Q4,766317
Females,0-4,Australia,Quarterly,2017-Q1,766317
Females,0-4,Australia,Quarterly,2017-Q2,765422
Females,0-4,Australia,Quarterly,2017-Q3,764938
Females,0-4,Australia,Quarterly,2017-Q4,762426
Females,0-4,Australia,Quarterly,2018-Q1,761347
Females,0-4,Australia,Quarterly,2018-Q2,759639
Females,0-4,Australia,Quarterly,2018-Q3,758537
Females,0-4,Australia,Quarterly,2018-Q4,757030
Females,0-4,Australia,Quarterly,2019-Q1,755937
Females,0-4,Australia,Quarterly,2019-Q2,754377
Females,0-4,Australia,Quarterly,2019-Q3,753455
Females,0-4,Australia,Quarterly,2019-Q4,751495
Females,0-4,Australia,Quarterly,2020-Q1,749256
Females,0-4,Australia,Quarterly,2020-Q2,745435
Females,0-4,Australia,Quarterly,2020-Q3,740744
Females,0-4,Australia,Quarterly,2020-Q4,735130
Females,0-4,Australia,Quarterly,2021-Q1,734129
Females,0-4,Australia,Quarterly,2021-Q2,733102
Females,0-4,Australia,Quarterly,2021-Q3,733731
Females,0-4,Australia,Quarterly,2021-Q4,734523
Females,0-4,Australia,Quarterly,2022-Q1,735574
Females,0-4,Australia,Quarterly,2022-Q2,735995
Females,0-4,Australia,Quarterly,2022-Q3,736673
Females,0-4,Australia,Quarterly,2022-Q4,736433
Females,0-4,Australia,Quarterly,2023-Q1,735914
Females,0-4,Australia,Quarterly,2023-Q2,735630
Females,0-4,Australia,Quarterly,2023-Q3,736351
Females,0-4,Australia,Quarterly,2023-Q4,735997
Persons,0-4,Australia,Quarterly,2014-Q1,1537932
Persons,0-4,Australia,Quarterly,2014-Q2,1541431
Persons,0-4,Australia,Quarterly,2014-Q3,1546586
Persons,0-4,Australia,Quarterly,2014-Q4,1549299
Persons,0-4,Australia,Quarterly,2015-Q1,1552004
Persons,0-4,Australia,Quarterly,2015-Q2,1552567
Persons,0-4,Australia,Quarterly,2015-Q3,1558634
Persons,0-4,Australia,Quarterly,2015-Q4,1561785
Persons,0-4,Australia,Quarterly,2016-Q1,1568311
Persons,0-4,Australia,Quarterly,2016-Q2,1573626
Persons,0-4,Australia,Quarterly,2016-Q3,1576215
Persons,0-4,Australia,Quarterly,2016-Q4,1575533
Persons,0-4,Australia,Quarterly,2017-Q1,1575735
Persons,0-4,Australia,Quarterly,2017-Q2,1574432
Persons,0-4,Australia,Quarterly,2017-Q3,1573423
Persons,0-4,Australia,Quarterly,2017-Q4,1568795
Persons,0-4,Australia,Quarterly,2018-Q1,1566815
Persons,0-4,Australia,Quarterly,2018-Q2,1563415
Persons,0-4,Australia,Quarterly,2018-Q3,1561558
Persons,0-4,Australia,Quarterly,2018-Q4,1558456
Persons,0-4,Australia,Quarterly,2019-Q1,1556654
Persons,0-4,Australia,Quarterly,2019-Q2,1554029
Persons,0-4,Australia,Quarterly,2019-Q3,1552273
Persons,0-4,Australia,Quarterly,2019-Q4,1547505
Persons,0-4,Australia,Quarterly,2020-Q1,1542954
Persons,0-4,Australia,Quarterly,2020-Q2,1535006
Persons,0-4,Australia,Quarterly,2020-Q3,1524774
Persons,0-4,Australia,Quarterly,2020-Q4,1513124
Persons,0-4,Australia,Quarterly,2021-Q1,1511346
Persons,0-4,Australia,Quarterly,2021-Q2,1509001
Persons,0-4,Australia,Quarterly,2021-Q3,1509976
Persons,0-4,Australia,Quarterly,2021-Q4,1511145
Persons,0-4,Australia,Quarterly,2022-Q1,1512953
Persons,0-4,Australia,Quarterly,2022-Q2,1513423
Persons,0-4,Australia,Quarterly,2022-Q3,1514860
Persons,0-4,Australia,Quarterly,2022-Q4,1514552
Persons,0-4,Australia,Quarterly,2023-Q1,1513257
Persons,0-4,Australia,Quarterly,2023-Q2,1512632
Persons,0-4,Australia,Quarterly,2023-Q3,1513700
Persons,0-4,Australia,Quarterly,2023-Q4,1512405
Males,0-4,Australian Capital Territory,Quarterly,2014-Q1,13806
Males,0-4,Australian Capital Territory,Quarterly,2014-Q2,13875
Males,0-4,Australian Capital Territory,Quarterly,2014-Q3,13983
Males,0-4,Australian Capital Territory,Quarterly,2014-Q4,14065
Males,0-4,Australian Capital Territory,Quarterly,2015-Q1,14163
Males,0-4,Australian Capital Territory,Quarterly,2015-Q2,14181
Males,0-4,Australian Capital Territory,Quarterly,2015-Q3,14263
Males,0-4,Australian Capital Territory,Quarterly,2015-Q4,14355
Males,0-4,Australian Capital Territory,Quarterly,2016-Q1,14422
Males,0-4,Australian Capital Territory,Quarterly,2016-Q2,14556
Males,0-4,Australian Capital Territory,Quarterly,2016-Q3,14591
Males,0-4,Australian Capital Territory,Quarterly,2016-Q4,14664
Males,0-4,Australian Capital Territory,Quarterly,2017-Q1,14712
Males,0-4,Australian Capital Territory,Quarterly,2017-Q2,14697
Males,0-4,Australian Capital Territory,Quarterly,2017-Q3,14726
Males,0-4,Australian Capital Territory,Quarterly,2017-Q4,14687
Males,0-4,Australian Capital Territory,Quarterly,2018-Q1,14658
Males,0-4,Australian Capital Territory,Quarterly,2018-Q2,14598
Males,0-4,Australian Capital Territory,Quarterly,2018-Q3,14523
Males,0-4,Australian Capital Territory,Quarterly,2018-Q4,14477
Males,0-4,Australian Capital Territory,Quarterly,2019-Q1,14438
Males,0-4,Australian Capital Territory,Quarterly,2019-Q2,14393
Males,0-4,Australian Capital Territory,Quarterly,2019-Q3,14409
Males,0-4,Australian Capital Territory,Quarterly,2019-Q4,14392
Males,0-4,Australian Capital Territory,Quarterly,2020-Q1,14350
Males,0-4,Australian Capital Territory,Quarterly,2020-Q2,14219
Males,0-4,Australian Capital Territory,Quarterly,2020-Q3,14108
Males,0-4,Australian Capital Territory,Quarterly,2020-Q4,14011
Males,0-4,Australian Capital Territory,Quarterly,2021-Q1,13999
Males,0-4,Australian Capital Territory,Quarterly,2021-Q2,13890
Males,0-4,Australian Capital Territory,Quarterly,2021-Q3,13854
Males,0-4,Australian Capital Territory,Quarterly,2021-Q4,13804
Males,0-4,Australian Capital Territory,Quarterly,2022-Q1,13778
Males,0-4,Australian Capital Territory,Quarterly,2022-Q2,13716
Males,0-4,Australian Capital Territory,Quarterly,2022-Q3,13704
Males,0-4,Australian Capital Territory,Quarterly,2022-Q4,13617
Males,0-4,Australian Capital Territory,Quarterly,2023-Q1,13569
Males,0-4,Australian Capital Territory,Quarterly,2023-Q2,13575
Males,0-4,Australian Capital Territory,Quarterly,2023-Q3,13556
Males,0-4,Australian Capital Territory,Quarterly,2023-Q4,13466
Persons,0-4,Australian Capital Territory,Quarterly,2014-Q1,26764
Persons,0-4,Australian Capital Territory,Quarterly,2014-Q2,26862
Persons,0-4,Australian Capital Territory,Quarterly,2014-Q3,27055
Persons,0-4,Australian Capital Territory,Quarterly,2014-Q4,27210
Persons,0-4,Australian Capital Territory,Quarterly,2015-Q1,27346
Persons,0-4,Australian Capital Territory,Quarterly,2015-Q2,27384
Persons,0-4,Australian Capital Territory,Quarterly,2015-Q3,27504
Persons,0-4,Australian Capital Territory,Quarterly,2015-Q4,27634
Persons,0-4,Australian Capital Territory,Quarterly,2016-Q1,27819
Persons,0-4,Australian Capital Territory,Quarterly,2016-Q2,28054
Persons,0-4,Australian Capital Territory,Quarterly,2016-Q3,28186
Persons,0-4,Australian Capital Territory,Quarterly,2016-Q4,28305
Persons,0-4,Australian Capital Territory,Quarterly,2017-Q1,28444
Persons,0-4,Australian Capital Territory,Quarterly,2017-Q2,28441
Persons,0-4,Australian Capital Territory,Quarterly,2017-Q3,28477
Persons,0-4,Australian Capital Territory,Quarterly,2017-Q4,28377
Persons,0-4,Australian Capital Territory,Quarterly,2018-Q1,28340
Persons,0-4,Australian Capital Territory,Quarterly,2018-Q2,28215
Persons,0-4,Australian Capital Territory,Quarterly,2018-Q3,28141
Persons,0-4,Australian Capital Territory,Quarterly,2018-Q4,28124
Persons,0-4,Australian Capital Territory,Quarterly,2019-Q1,28101
Persons,0-4,Australian Capital Territory,Quarterly,2019-Q2,28013
Persons,0-4,Australian Capital Territory,Quarterly,2019-Q3,28060
Persons,0-4,Australian Capital Territory,Quarterly,2019-Q4,28009
Persons,0-4,Australian Capital Territory,Quarterly,2020-Q1,27921
Persons,0-4,Australian Capital Territory,Quarterly,2020-Q2,27738
Persons,0-4,Australian Capital Territory,Quarterly,2020-Q3,27531
Persons,0-4,Australian Capital Territory,Quarterly,2020-Q4,27359
Persons,0-4,Australian Capital Territory,Quarterly,2021-Q1,27267
Persons,0-4,Australian Capital Territory,Quarterly,2021-Q2,27071
Persons,0-4,Australian Capital Territory,Quarterly,2021-Q3,26987
Persons,0-4,Australian Capital Territory,Quarterly,2021-Q4,26883
Persons,0-4,Australian Capital Territory,Quarterly,2022-Q1,26868
Persons,0-4,Australian Capital Territory,Quarterly,2022-Q2,26710
Persons,0-4,Australian Capital Territory,Quarterly,2022-Q3,26670
Persons,0-4,Australian Capital Territory,Quarterly,2022-Q4,26517
Persons,0-4,Australian Capital Territory,Quarterly,2023-Q1,26406
Persons,0-4,Australian Capital Territory,Quarterly,2023-Q2,26413
Persons,0-4,Australian Capital Territory,Quarterly,2023-Q3,26392
Persons,0-4,Australian Capital Territory,Quarterly,2023-Q4,26309
Females,0-4,Australian Capital Territory,Quarterly,2014-Q1,12958
Females,0-4,Australian Capital Territory,Quarterly,2014-Q2,12987
Females,0-4,Australian Capital Territory,Quarterly,2014-Q3,13072
Females,0-4,Australian Capital Territory,Quarterly,2014-Q4,13145
Females,0-4,Australian Capital Territory,Quarterly,2015-Q1,13183
Females,0-4,Australian Capital Territory,Quarterly,2015-Q2,13203
Females,0-4,Australian Capital Territory,Quarterly,2015-Q3,13241
Females,0-4,Australian Capital Territory,Quarterly,2015-Q4,13279
Females,0-4,Australian Capital Territory,Quarterly,2016-Q1,13397
Females,0-4,Australian Capital Territory,Quarterly,2016-Q2,13498
Females,0-4,Australian Capital Territory,Quarterly,2016-Q3,13595
Females,0-4,Australian Capital Territory,Quarterly,2016-Q4,13641
Females,0-4,Australian Capital Territory,Quarterly,2017-Q1,13732
Females,0-4,Australian Capital Territory,Quarterly,2017-Q2,13744
Females,0-4,Australian Capital Territory,Quarterly,2017-Q3,13751
Females,0-4,Australian Capital Territory,Quarterly,2017-Q4,13690
Females,0-4,Australian Capital Territory,Quarterly,2018-Q1,13682
Females,0-4,Australian Capital Territory,Quarterly,2018-Q2,13617
Females,0-4,Australian Capital Territory,Quarterly,2018-Q3,13618
Females,0-4,Australian Capital Territory,Quarterly,2018-Q4,13647
Females,0-4,Australian Capital Territory,Quarterly,2019-Q1,13663
Females,0-4,Australian Capital Territory,Quarterly,2019-Q2,13620
Females,0-4,Australian Capital Territory,Quarterly,2019-Q3,13651
Females,0-4,Australian Capital Territory,Quarterly,2019-Q4,13617
Females,0-4,Australian Capital Territory,Quarterly,2020-Q1,13571
Females,0-4,Australian Capital Territory,Quarterly,2020-Q2,13519
Females,0-4,Australian Capital Territory,Quarterly,2020-Q3,13423
Females,0-4,Australian Capital Territory,Quarterly,2020-Q4,13348
Females,0-4,Australian Capital Territory,Quarterly,2021-Q1,13268
Females,0-4,Australian Capital Territory,Quarterly,2021-Q2,13181
Females,0-4,Australian Capital Territory,Quarterly,2021-Q3,13133
Females,0-4,Australian Capital Territory,Quarterly,2021-Q4,13079
Females,0-4,Australian Capital Territory,Quarterly,2022-Q1,13090
Females,0-4,Australian Capital Territory,Quarterly,2022-Q2,12994
Females,0-4,Australian Capital Territory,Quarterly,2022-Q3,12966
Females,0-4,Australian Capital Territory,Quarterly,2022-Q4,12900
Females,0-4,Australian Capital Territory,Quarterly,2023-Q1,12837
Females,0-4,Australian Capital Territory,Quarterly,2023-Q2,12838
Females,0-4,Australian Capital Territory,Quarterly,2023-Q3,12836
Females,0-4,Australian Capital Territory,Quarterly,2023-Q4,12843
Persons,0-4,New South Wales,Quarterly,2014-Q1,491358
Persons,0-4,New South Wales,Quarterly,2014-Q2,492039
Persons,0-4,New South Wales,Quarterly,2014-Q3,493593
Persons,0-4,New South Wales,Quarterly,2014-Q4,494552
Persons,0-4,New South Wales,Quarterly,2015-Q1,495156
Persons,0-4,New South Wales,Quarterly,2015-Q2,495113
Persons,0-4,New South Wales,Quarterly,2015-Q3,497176
Persons,0-4,New South Wales,Quarterly,2015-Q4,498046
Persons,0-4,New South Wales,Quarterly,2016-Q1,499605
Persons,0-4,New South Wales,Quarterly,2016-Q2,501131
Persons,0-4,New South Wales,Quarterly,2016-Q3,501987
Persons,0-4,New South Wales,Quarterly,2016-Q4,501696
Persons,0-4,New South Wales,Quarterly,2017-Q1,501357
Persons,0-4,New South Wales,Quarterly,2017-Q2,500454
Persons,0-4,New South Wales,Quarterly,2017-Q3,499998
Persons,0-4,New South Wales,Quarterly,2017-Q4,497784
Persons,0-4,New South Wales,Quarterly,2018-Q1,496632
Persons,0-4,New South Wales,Quarterly,2018-Q2,495397
Persons,0-4,New South Wales,Quarterly,2018-Q3,495033
Persons,0-4,New South Wales,Quarterly,2018-Q4,493888
Persons,0-4,New South Wales,Quarterly,2019-Q1,493043
Persons,0-4,New South Wales,Quarterly,2019-Q2,492150
Persons,0-4,New South Wales,Quarterly,2019-Q3,491704
Persons,0-4,New South Wales,Quarterly,2019-Q4,490078
Persons,0-4,New South Wales,Quarterly,2020-Q1,488532
Persons,0-4,New South Wales,Quarterly,2020-Q2,486002
Persons,0-4,New South Wales,Quarterly,2020-Q3,482800
Persons,0-4,New South Wales,Quarterly,2020-Q4,479412
Persons,0-4,New South Wales,Quarterly,2021-Q1,478961
Persons,0-4,New South Wales,Quarterly,2021-Q2,478681
Persons,0-4,New South Wales,Quarterly,2021-Q3,479725
Persons,0-4,New South Wales,Quarterly,2021-Q4,480826
Persons,0-4,New South Wales,Quarterly,2022-Q1,481218
Persons,0-4,New South Wales,Quarterly,2022-Q2,481153
Persons,0-4,New South Wales,Quarterly,2022-Q3,481033
Persons,0-4,New South Wales,Quarterly,2022-Q4,480299
Persons,0-4,New South Wales,Quarterly,2023-Q1,479515
Persons,0-4,New South Wales,Quarterly,2023-Q2,479306
Persons,0-4,New South Wales,Quarterly,2023-Q3,479228
Persons,0-4,New South Wales,Quarterly,2023-Q4,478023
Females,0-4,New South Wales,Quarterly,2014-Q1,238889
Females,0-4,New South Wales,Quarterly,2014-Q2,239179
Females,0-4,New South Wales,Quarterly,2014-Q3,239898
Females,0-4,New South Wales,Quarterly,2014-Q4,240319
Females,0-4,New South Wales,Quarterly,2015-Q1,240543
Females,0-4,New South Wales,Quarterly,2015-Q2,240581
Females,0-4,New South Wales,Quarterly,2015-Q3,241602
Females,0-4,New South Wales,Quarterly,2015-Q4,242093
Females,0-4,New South Wales,Quarterly,2016-Q1,242800
Females,0-4,New South Wales,Quarterly,2016-Q2,243585
Females,0-4,New South Wales,Quarterly,2016-Q3,243992
Females,0-4,New South Wales,Quarterly,2016-Q4,243834
Females,0-4,New South Wales,Quarterly,2017-Q1,243763
Females,0-4,New South Wales,Quarterly,2017-Q2,243402
Females,0-4,New South Wales,Quarterly,2017-Q3,243154
Females,0-4,New South Wales,Quarterly,2017-Q4,242118
Females,0-4,New South Wales,Quarterly,2018-Q1,241493
Females,0-4,New South Wales,Quarterly,2018-Q2,240968
Females,0-4,New South Wales,Quarterly,2018-Q3,240680
Females,0-4,New South Wales,Quarterly,2018-Q4,239865
Females,0-4,New South Wales,Quarterly,2019-Q1,239375
Females,0-4,New South Wales,Quarterly,2019-Q2,238785
Females,0-4,New South Wales,Quarterly,2019-Q3,238440
Females,0-4,New South Wales,Quarterly,2019-Q4,237737
Females,0-4,New South Wales,Quarterly,2020-Q1,237065
Females,0-4,New South Wales,Quarterly,2020-Q2,235778
Females,0-4,New South Wales,Quarterly,2020-Q3,234232
Females,0-4,New South Wales,Quarterly,2020-Q4,232625
Females,0-4,New South Wales,Quarterly,2021-Q1,232236
Females,0-4,New South Wales,Quarterly,2021-Q2,232193
Females,0-4,New South Wales,Quarterly,2021-Q3,232607
Females,0-4,New South Wales,Quarterly,2021-Q4,233263
Females,0-4,New South Wales,Quarterly,2022-Q1,233540
Females,0-4,New South Wales,Quarterly,2022-Q2,233512
Females,0-4,New South Wales,Quarterly,2022-Q3,233499
Females,0-4,New South Wales,Quarterly,2022-Q4,233086
Females,0-4,New South Wales,Quarterly,2023-Q1,232632
Females,0-4,New South Wales,Quarterly,2023-Q2,232416
Females,0-4,New South Wales,Quarterly,2023-Q3,232638
Females,0-4,New South Wales,Quarterly,2023-Q4,232080
Males,0-4,New South Wales,Quarterly,2014-Q1,252469
Males,0-4,New South Wales,Quarterly,2014-Q2,252860
Males,0-4,New South Wales,Quarterly,2014-Q3,253695
Males,0-4,New South Wales,Quarterly,2014-Q4,254233
Males,0-4,New South Wales,Quarterly,2015-Q1,254613
Males,0-4,New South Wales,Quarterly,2015-Q2,254532
Males,0-4,New South Wales,Quarterly,2015-Q3,255574
Males,0-4,New South Wales,Quarterly,2015-Q4,255953
Males,0-4,New South Wales,Quarterly,2016-Q1,256805
Males,0-4,New South Wales,Quarterly,2016-Q2,257546
Males,0-4,New South Wales,Quarterly,2016-Q3,257995
Males,0-4,New South Wales,Quarterly,2016-Q4,257862
Males,0-4,New South Wales,Quarterly,2017-Q1,257594
Males,0-4,New South Wales,Quarterly,2017-Q2,257052
Males,0-4,New South Wales,Quarterly,2017-Q3,256844
Males,0-4,New South Wales,Quarterly,2017-Q4,255666
Males,0-4,New South Wales,Quarterly,2018-Q1,255139
Males,0-4,New South Wales,Quarterly,2018-Q2,254429
Males,0-4,New South Wales,Quarterly,2018-Q3,254353
Males,0-4,New South Wales,Quarterly,2018-Q4,254023
Males,0-4,New South Wales,Quarterly,2019-Q1,253668
Males,0-4,New South Wales,Quarterly,2019-Q2,253365
Males,0-4,New South Wales,Quarterly,2019-Q3,253264
Males,0-4,New South Wales,Quarterly,2019-Q4,252341
Males,0-4,New South Wales,Quarterly,2020-Q1,251467
Males,0-4,New South Wales,Quarterly,2020-Q2,250224
Males,0-4,New South Wales,Quarterly,2020-Q3,248568
Males,0-4,New South Wales,Quarterly,2020-Q4,246787
Males,0-4,New South Wales,Quarterly,2021-Q1,246725
Males,0-4,New South Wales,Quarterly,2021-Q2,246488
Males,0-4,New South Wales,Quarterly,2021-Q3,247118
Males,0-4,New South Wales,Quarterly,2021-Q4,247563
Males,0-4,New South Wales,Quarterly,2022-Q1,247678
Males,0-4,New South Wales,Quarterly,2022-Q2,247641
Males,0-4,New South Wales,Quarterly,2022-Q3,247534
Males,0-4,New South Wales,Quarterly,2022-Q4,247213
Males,0-4,New South Wales,Quarterly,2023-Q1,246883
Males,0-4,New South Wales,Quarterly,2023-Q2,246890
Males,0-4,New South Wales,Quarterly,2023-Q3,246590
Males,0-4,New South Wales,Quarterly,2023-Q4,245943
Females,0-4,Northern Territory,Quarterly,2014-Q1,9360
Females,0-4,Northern Territory,Quarterly,2014-Q2,9373
Females,0-4,Northern Territory,Quarterly,2014-Q3,9346
Females,0-4,Northern Territory,Quarterly,2014-Q4,9307
Females,0-4,Northern Territory,Quarterly,2015-Q1,9307
Females,0-4,Northern Territory,Quarterly,2015-Q2,9340
Females,0-4,Northern Territory,Quarterly,2015-Q3,9387
Females,0-4,Northern Territory,Quarterly,2015-Q4,9357
Females,0-4,Northern Territory,Quarterly,2016-Q1,9454
Females,0-4,Northern Territory,Quarterly,2016-Q2,9512
Females,0-4,Northern Territory,Quarterly,2016-Q3,9427
Females,0-4,Northern Territory,Quarterly,2016-Q4,9393
Females,0-4,Northern Territory,Quarterly,2017-Q1,9361
Females,0-4,Northern Territory,Quarterly,2017-Q2,9379
Females,0-4,Northern Territory,Quarterly,2017-Q3,9313
Females,0-4,Northern Territory,Quarterly,2017-Q4,9170
Females,0-4,Northern Territory,Quarterly,2018-Q1,9097
Females,0-4,Northern Territory,Quarterly,2018-Q2,9017
Females,0-4,Northern Territory,Quarterly,2018-Q3,8968
Females,0-4,Northern Territory,Quarterly,2018-Q4,8859
Females,0-4,Northern Territory,Quarterly,2019-Q1,8820
Females,0-4,Northern Territory,Quarterly,2019-Q2,8768
Females,0-4,Northern Territory,Quarterly,2019-Q3,8734
Females,0-4,Northern Territory,Quarterly,2019-Q4,8635
Females,0-4,Northern Territory,Quarterly,2020-Q1,8619
Females,0-4,Northern Territory,Quarterly,2020-Q2,8601
Females,0-4,Northern Territory,Quarterly,2020-Q3,8530
Females,0-4,Northern Territory,Quarterly,2020-Q4,8452
Females,0-4,Northern Territory,Quarterly,2021-Q1,8463
Females,0-4,Northern Territory,Quarterly,2021-Q2,8430
Females,0-4,Northern Territory,Quarterly,2021-Q3,8439
Females,0-4,Northern Territory,Quarterly,2021-Q4,8449
Females,0-4,Northern Territory,Quarterly,2022-Q1,8593
Females,0-4,Northern Territory,Quarterly,2022-Q2,8571
Females,0-4,Northern Territory,Quarterly,2022-Q3,8553
Females,0-4,Northern Territory,Quarterly,2022-Q4,8558
Females,0-4,Northern Territory,Quarterly,2023-Q1,8502
Females,0-4,Northern Territory,Quarterly,2023-Q2,8519
Females,0-4,Northern Territory,Quarterly,2023-Q3,8454
Females,0-4,Northern Territory,Quarterly,2023-Q4,8505
Males,0-4,Northern Territory,Quarterly,2014-Q1,9879
Males,0-4,Northern Territory,Quarterly,2014-Q2,9894
Males,0-4,Northern Territory,Quarterly,2014-Q3,9863
Males,0-4,Northern Territory,Quarterly,2014-Q4,9784
Males,0-4,Northern Territory,Quarterly,2015-Q1,9831
Males,0-4,Northern Territory,Quarterly,2015-Q2,9883
Males,0-4,Northern Territory,Quarterly,2015-Q3,9856
Males,0-4,Northern Territory,Quarterly,2015-Q4,9806
Males,0-4,Northern Territory,Quarterly,2016-Q1,9814
Males,0-4,Northern Territory,Quarterly,2016-Q2,9844
Males,0-4,Northern Territory,Quarterly,2016-Q3,9898
Males,0-4,Northern Territory,Quarterly,2016-Q4,9835
Males,0-4,Northern Territory,Quarterly,2017-Q1,9794
Males,0-4,Northern Territory,Quarterly,2017-Q2,9820
Males,0-4,Northern Territory,Quarterly,2017-Q3,9720
Males,0-4,Northern Territory,Quarterly,2017-Q4,9668
Males,0-4,Northern Territory,Quarterly,2018-Q1,9638
Males,0-4,Northern Territory,Quarterly,2018-Q2,9636
Males,0-4,Northern Territory,Quarterly,2018-Q3,9564
Males,0-4,Northern Territory,Quarterly,2018-Q4,9472
Males,0-4,Northern Territory,Quarterly,2019-Q1,9458
Males,0-4,Northern Territory,Quarterly,2019-Q2,9453
Males,0-4,Northern Territory,Quarterly,2019-Q3,9370
Males,0-4,Northern Territory,Quarterly,2019-Q4,9246
Males,0-4,Northern Territory,Quarterly,2020-Q1,9239
Males,0-4,Northern Territory,Quarterly,2020-Q2,9246
Males,0-4,Northern Territory,Quarterly,2020-Q3,9216
Males,0-4,Northern Territory,Quarterly,2020-Q4,9163
Males,0-4,Northern Territory,Quarterly,2021-Q1,9179
Males,0-4,Northern Territory,Quarterly,2021-Q2,9174
Males,0-4,Northern Territory,Quarterly,2021-Q3,9130
Males,0-4,Northern Territory,Quarterly,2021-Q4,9132
Males,0-4,Northern Territory,Quarterly,2022-Q1,9155
Males,0-4,Northern Territory,Quarterly,2022-Q2,9111
Males,0-4,Northern Territory,Quarterly,2022-Q3,9115
Males,0-4,Northern Territory,Quarterly,2022-Q4,9071
Males,0-4,Northern Territory,Quarterly,2023-Q1,9038
Males,0-4,Northern Territory,Quarterly,2023-Q2,9040
Males,0-4,Northern Territory,Quarterly,2023-Q3,8968
Males,0-4,Northern Territory,Quarterly,2023-Q4,8930
Persons,0-4,Northern Territory,Quarterly,2014-Q1,19239
Persons,0-4,Northern Territory,Quarterly,2014-Q2,19267
Persons,0-4,Northern Territory,Quarterly,2014-Q3,19209
Persons,0-4,Northern Territory,Quarterly,2014-Q4,19091
Persons,0-4,Northern Territory,Quarterly,2015-Q1,19138
Persons,0-4,Northern Territory,Quarterly,2015-Q2,19223
Persons,0-4,Northern Territory,Quarterly,2015-Q3,19243
Persons,0-4,Northern Territory,Quarterly,2015-Q4,19163
Persons,0-4,Northern Territory,Quarterly,2016-Q1,19268
Persons,0-4,Northern Territory,Quarterly,2016-Q2,19356
Persons,0-4,Northern Territory,Quarterly,2016-Q3,19325
Persons,0-4,Northern Territory,Quarterly,2016-Q4,19228
Persons,0-4,Northern Territory,Quarterly,2017-Q1,19155
Persons,0-4,Northern Territory,Quarterly,2017-Q2,19199
Persons,0-4,Northern Territory,Quarterly,2017-Q3,19033
Persons,0-4,Northern Territory,Quarterly,2017-Q4,18838
Persons,0-4,Northern Territory,Quarterly,2018-Q1,18735
Persons,0-4,Northern Territory,Quarterly,2018-Q2,18653
Persons,0-4,Northern Territory,Quarterly,2018-Q3,18532
Persons,0-4,Northern Territory,Quarterly,2018-Q4,18331
Persons,0-4,Northern Territory,Quarterly,2019-Q1,18278
Persons,0-4,Northern Territory,Quarterly,2019-Q2,18221
